# iteration objective gradient_norm
0 8.390083474433403171e+04 5.893101848341391451e+04
1 7.959819646490000014e+04 5.702691622653489321e+04
2 7.556977996014668315e+04 5.522840008085706359e+04
3 7.178687753613339737e+04 5.358003663913429773e+04
4 6.822740443098547985e+04 5.193340178330056369e+04
5 6.488913936511953943e+04 5.015657607213933079e+04
6 6.177647380179911852e+04 4.843558487257807428e+04
7 5.887425224410194642e+04 4.673009809585161565e+04
8 5.617703810688469093e+04 4.494258636296457553e+04
9 5.368139029360884888e+04 4.329694029475266143e+04
10 5.136337291375279165e+04 4.174751684621617460e+04
11 4.920866549876344652e+04 4.022841005938207672e+04
12 4.720645936191280634e+04 3.884856481254830578e+04
13 4.533794535034900036e+04 3.756337291636787995e+04
14 4.359096851184446859e+04 3.631768962954995368e+04
15 4.195633294652316545e+04 3.519868944512225426e+04
16 4.041964868087797367e+04 3.414234868704627297e+04
17 3.897495206683586730e+04 3.308152221494698460e+04
18 3.761877757280418155e+04 3.204316607515803116e+04
19 3.634580950038549054e+04 3.106866130968586731e+04
20 3.514960297189161065e+04 3.007833640024578926e+04
21 3.402998437885308522e+04 2.906702839355451579e+04
22 3.298218001113962237e+04 2.821440998763917378e+04
23 3.199394548028858117e+04 2.743500276741954804e+04
24 3.105976725257622820e+04 2.664982374016627728e+04
25 3.017884326934318960e+04 2.587010689265385008e+04
26 2.934839086159201543e+04 2.512242787453657365e+04
27 2.856499386792384030e+04 2.441778018795768730e+04
28 2.782470814488558972e+04 2.375386774990244885e+04
29 2.712326941392508161e+04 2.316104319785461848e+04
30 2.645557843881873487e+04 2.264864971791140852e+04
31 2.581655800898006055e+04 2.217203999030818886e+04
32 2.520392922159843511e+04 2.171875273318338077e+04
33 2.461616081890194255e+04 2.127103026710814447e+04
34 2.405237517258706794e+04 2.083694143091030492e+04
35 2.351124520341347306e+04 2.041633191335360971e+04
36 2.299177165943741056e+04 2.000417764532970614e+04
37 2.249302379729175664e+04 1.960157657732643929e+04
38 2.201421011546840236e+04 1.920360402034105573e+04
39 2.155446605341993563e+04 1.882924883004721414e+04
40 2.111243598567424124e+04 1.846890140569859432e+04
41 2.068683087794254243e+04 1.814391968523133255e+04
42 2.027600751779607890e+04 1.782377882201803368e+04
43 1.987959315744597188e+04 1.750777638528388343e+04
44 1.949714579990820857e+04 1.719436197264160000e+04
45 1.912827080880535505e+04 1.688507163518196467e+04
46 1.877255412914182671e+04 1.658169215915388122e+04
47 1.842952058493448931e+04 1.628280939391533684e+04
48 1.809870332997850710e+04 1.599179837794507148e+04
49 1.777965428286252427e+04 1.570241399531183561e+04
50 1.747201724718609694e+04 1.542096554428808668e+04
51 1.717519984115721672e+04 1.515992888419331211e+04
52 1.688828341564146831e+04 1.490666748086722328e+04
53 1.661081850430813938e+04 1.466428175628493773e+04
54 1.634227015593050419e+04 1.442673232227230255e+04
55 1.608233199783083001e+04 1.419805458066603933e+04
56 1.583051876831360823e+04 1.397408023383836917e+04
57 1.558655788937439684e+04 1.376117829669620733e+04
58 1.534990673632523249e+04 1.355806661859984888e+04
59 1.512019828226795653e+04 1.335802798317164707e+04
